name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,voice_limit,file_xenon,file_size_xenon,file_ps3,file_size_ps3,file_pc,file_size_pc,file_wii,file_size_wii,source_csv,language
gr_kar98_clip_in_plr,raw\sound\wawzmb\sfx\weapon\Rifle\M1Gar\Foley\m1gar_clip_in.wav,wpn_all_reload_plr,no,,reload,100,100,100,0,0,0,default,default,allon,rdefault,5,priority,5,reject,-88,84,0,70,70,0.25,1,2d,loaded,nonlooping,,1,0,88,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,reload,no,raw\sound\wawzmb\sfx\weapon\Rifle\M1Gar\Foley\m1gar_clip_in.xm4,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1Gar\Foley\m1gar_clip_in.mp3,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1Gar\Foley\m1gar_clip_in.wav,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1Gar\Foley\m1gar_clip_in.wds,0,wpn_ww2,all
#gr_kar98_clip_eject_plr,raw\sound\wawzmb\SFX/Weapon/Rifle/Kar_98/Foley/gr_kar98_clip_eject.wav,wpn_all_reload_plr,no,,reload,100,100,100,0,0,0,default,default,allon,rdefault,5,priority,5,reject,-88,84,0,70,70,0.25,1,2d,loaded,nonlooping,,1,0,88,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,reload,no,raw\sound\wawzmb\SFX/Weapon/Rifle/Kar_98/Foley/gr_kar98_clip_eject.xm4,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Kar_98/Foley/gr_kar98_clip_eject.mp3,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Kar_98/Foley/gr_kar98_clip_eject.wav,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Kar_98/Foley/gr_kar98_clip_eject.wds,0,wpn_ww2,all
weap_kar98_move_l,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_left.wav,wpn_rfl_shot_npc,no,no_fire_npc_dist,wpn_rfl_npc,100,100,0.75,500,3500,3500,log2,log2,allon,rdefault,10,priority,2,oldest,-88,84,0.8,20,90,0.25,1,3d,loaded,nonlooping,variant pitch,1,0,100,,default,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,wpn_npc,no,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_left.xm4,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_left.mp3,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_left.wav,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_left.wds,0,wpn_ww2,all
weap_kar98_move_r,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_right.wav,wpn_rfl_shot_npc,no,no_fire_npc_dist,wpn_rfl_npc,100,100,0.75,500,3500,3500,log2,log2,allon,rdefault,10,priority,2,oldest,-88,84,0.8,20,90,0.25,1,3d,loaded,nonlooping,variant pitch,1,0,100,,default,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,wpn_npc,no,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_right.xm4,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_right.mp3,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_right.wav,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_right.wds,0,wpn_ww2,all
wpn_kar98k_fire_plr_snp,raw\sound\wawzmb\sfx\weapon\Rifle\Kar_98\Fire\wpn_kar98_st_f.wav,,weap_kar98k,weap_kar98k_fire_plr_act,wpn_rfl_plr,100,100,100,0,0,0,default,default,allon,rdefault,2,oldest,5,reject,0,0,0,90,90,0.25,1,2d,loaded,nonlooping,,1,0,100,,wpn_all,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,wpn_plr,no,raw\sound\wawzmb\sfx\weapon\Rifle\Kar_98\Fire\wpn_kar98_st_f.xm4,0,raw\sound\wawzmb\sfx\weapon\Rifle\Kar_98\Fire\wpn_kar98_st_f.mp3,0,raw\sound\wawzmb\sfx\weapon\Rifle\Kar_98\Fire\wpn_kar98_st_f.wav,0,raw\sound\wawzmb\sfx\weapon\Rifle\Kar_98\Fire\wpn_kar98_st_f.wds,0,wpn_ww2,all
wpn_kar98k_fire_snp,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn.wav,wpn_rfl_shot_npc,no,no_fire_npc_dist,wpn_rfl_npc,100,100,0.75,500,3500,3500,log2,log2,allon,rdefault,10,priority,2,oldest,-88,84,0.8,20,90,0.25,1,3d,loaded,nonlooping,variant pitch,1,0,100,,default,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,wpn_npc,no,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn.xm4,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn.mp3,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn.wav,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn.wds,0,wpn_ww2,all
# ARISAKA
weap_arisaka_fire_plr,raw\sound\wawzmb\SFX/Weapon/Rifle/arisaka/Fire/wpn_arisaka_st_f.wav,,weap_arisaka,weap_arisaka_act_plr,wpn_rfl_plr,100,100,100,0,0,0,default,default,allon,rdefault,2,oldest,5,reject,0,0,0,90,90,0.25,1,2d,loaded,nonlooping,,1,0,100,,wpn_all,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,wpn_plr,no,raw\sound\wawzmb\SFX/Weapon/Rifle/arisaka/Fire/wpn_arisaka_st_f.xm4,0,raw\sound\wawzmb\SFX/Weapon/Rifle/arisaka/Fire/wpn_arisaka_st_f.mp3,0,raw\sound\wawzmb\SFX/Weapon/Rifle/arisaka/Fire/wpn_arisaka_st_f.wav,0,raw\sound\wawzmb\SFX/Weapon/Rifle/arisaka/Fire/wpn_arisaka_st_f.wds,0,wpn_ww2,all
weap_arisaka_act_plr,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_st_act_b.wav,wpn_rfl_shot_plr,no,no_bass_swt,wpn_rfl_plr,100,100,100,0,0,0,default,default,allon,rdefault,2,oldest,5,reject,0,0,0,90,90,0.25,1,2d,loaded,nonlooping,,1,0,100,,wpn_all,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,wpn_plr,no,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_st_act_b.xm4,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_st_act_b.mp3,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_st_act_b.wav,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_st_act_b.wds,0,wpn_ww2,all
weap_arisaka_fire,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn.wav,wpn_rfl_shot_npc,no,no_fire_npc_dist,wpn_rfl_npc,100,100,0.75,500,3500,3500,log2,log2,allon,rdefault,10,priority,2,oldest,-88,84,0.8,20,90,0.25,1,3d,loaded,nonlooping,variant pitch,1,0,100,,default,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,wpn_npc,no,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn.xm4,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn.mp3,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn.wav,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn.wds,0,wpn_ww2,all
weap_arisaka_fire_dist,raw\sound\wawzmb\SFX/Weapon/dist/jap/dist_jap_rifle.wav,wpn_rfl_shot_plr,no,no_bass_swt,wpn_rfl_plr,100,100,100,0,0,0,default,default,allon,rdefault,2,oldest,5,reject,0,0,0,90,90,0.25,1,2d,loaded,nonlooping,,1,0,100,,wpn_all,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,wpn_plr,no,raw\sound\wawzmb\SFX/Weapon/dist/jap/dist_jap_rifle.xm4,0,raw\sound\wawzmb\SFX/Weapon/dist/jap/dist_jap_rifle.mp3,0,raw\sound\wawzmb\SFX/Weapon/dist/jap/dist_jap_rifle.wav,0,raw\sound\wawzmb\SFX/Weapon/dist/jap/dist_jap_rifle.wds,0,wpn_ww2,all
weap_arisaka_fire_act,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn_act.wav,wpn_rfl_shot_plr,no,no_bass_swt,wpn_rfl_plr,100,100,100,0,0,0,default,default,allon,rdefault,2,oldest,5,reject,0,0,0,90,90,0.25,1,2d,loaded,nonlooping,,1,0,100,,wpn_all,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,wpn_plr,no,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn_act.xm4,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn_act.mp3,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn_act.wav,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Fire/wpn_arisaka_mn_act.wds,0,wpn_ww2,all
weap_arisaka_move_l,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_left.wav,wpn_rfl_shot_npc,no,no_fire_npc_dist,wpn_rfl_npc,100,100,0.75,500,3500,3500,log2,log2,allon,rdefault,10,priority,2,oldest,-88,84,0.8,20,90,0.25,1,3d,loaded,nonlooping,variant pitch,1,0,100,,default,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,wpn_npc,no,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_left.xm4,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_left.mp3,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_left.wav,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_left.wds,0,wpn_ww2,all
weap_arisaka_move_r,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_right.wav,wpn_rfl_shot_npc,no,no_fire_npc_dist,wpn_rfl_npc,100,100,0.75,500,3500,3500,log2,log2,allon,rdefault,10,priority,2,oldest,-88,84,0.8,20,90,0.25,1,3d,loaded,nonlooping,variant pitch,1,0,100,,default,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,wpn_npc,no,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_right.xm4,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_right.mp3,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_right.wav,0,raw\sound\wawzmb\sfx\weapon\Rifle\M1_Carbine\Fire\ring\car_m_right.wds,0,wpn_ww2,all
weap_arisaka_move_mn_l,raw\sound\wawzmb\SFX\Weapon\Rifle\SVT40\fire\ring\svt_left_mn.wav,wpn_rfl_shot_npc,no,no_fire_npc_dist,wpn_rfl_npc,100,100,0.75,500,3500,3500,log2,log2,allon,rdefault,10,priority,2,oldest,-88,84,0.8,20,90,0.25,1,3d,loaded,nonlooping,variant pitch,1,0,100,,default,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,wpn_npc,no,raw\sound\wawzmb\SFX\Weapon\Rifle\SVT40\fire\ring\svt_left_mn.xm4,0,raw\sound\wawzmb\SFX\Weapon\Rifle\SVT40\fire\ring\svt_left_mn.mp3,0,raw\sound\wawzmb\SFX\Weapon\Rifle\SVT40\fire\ring\svt_left_mn.wav,0,raw\sound\wawzmb\SFX\Weapon\Rifle\SVT40\fire\ring\svt_left_mn.wds,0,wpn_ww2,all
weap_arisaka_move_mn_r,raw\sound\wawzmb\SFX\Weapon\Rifle\SVT40\fire\ring\svt_right_mn.wav,wpn_rfl_shot_npc,no,no_fire_npc_dist,wpn_rfl_npc,100,100,0.75,500,3500,3500,log2,log2,allon,rdefault,10,priority,2,oldest,-88,84,0.8,20,90,0.25,1,3d,loaded,nonlooping,variant pitch,1,0,100,,default,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,wpn_npc,no,raw\sound\wawzmb\SFX\Weapon\Rifle\SVT40\fire\ring\svt_right_mn.xm4,0,raw\sound\wawzmb\SFX\Weapon\Rifle\SVT40\fire\ring\svt_right_mn.mp3,0,raw\sound\wawzmb\SFX\Weapon\Rifle\SVT40\fire\ring\svt_right_mn.wav,0,raw\sound\wawzmb\SFX\Weapon\Rifle\SVT40\fire\ring\svt_right_mn.wds,0,wpn_ww2,all
gr_arisaka_bolt_back_plr,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Foley/arisaka_bolt_back.wav,wpn_all_reload_plr,no,,reload,100,100,100,0,0,0,default,default,allon,rdefault,5,priority,5,reject,-88,84,0,70,70,0.25,1,2d,loaded,nonlooping,,1,0,88,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,reload,no,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Foley/arisaka_bolt_back.xm4,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Foley/arisaka_bolt_back.mp3,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Foley/arisaka_bolt_back.wav,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Foley/arisaka_bolt_back.wds,0,wpn_ww2,all
gr_arisaka_bolt_front_plr,raw\sound\wawzmb\sfx\weapon\Rifle\Arisaka\Foley\arisaka_bolt_front.wav,wpn_all_reload_plr,no,,reload,100,100,100,0,0,0,default,default,allon,rdefault,5,priority,5,reject,-88,84,0,70,70,0.25,1,2d,loaded,nonlooping,,1,0,88,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,reload,no,raw\sound\wawzmb\sfx\weapon\Rifle\Arisaka\Foley\arisaka_bolt_front.xm4,0,raw\sound\wawzmb\sfx\weapon\Rifle\Arisaka\Foley\arisaka_bolt_front.mp3,0,raw\sound\wawzmb\sfx\weapon\Rifle\Arisaka\Foley\arisaka_bolt_front.wav,0,raw\sound\wawzmb\sfx\weapon\Rifle\Arisaka\Foley\arisaka_bolt_front.wds,0,wpn_ww2,all
gr_arisaka_bolt_up_plr,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Foley/arisaka_bolt_up.wav,wpn_all_reload_plr,no,,reload,100,100,100,0,0,0,default,default,allon,rdefault,5,priority,5,reject,-88,84,0,70,70,0.25,1,2d,loaded,nonlooping,,1,0,88,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,reload,no,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Foley/arisaka_bolt_up.xm4,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Foley/arisaka_bolt_up.mp3,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Foley/arisaka_bolt_up.wav,0,raw\sound\wawzmb\SFX/Weapon/Rifle/Arisaka/Foley/arisaka_bolt_up.wds,0,wpn_ww2,all
gr_arisaka_bolt_down_plr,raw\sound\wawzmb\sfx\weapon\Rifle\Arisaka\Foley\arisaka_bolt_down.wav,wpn_all_reload_plr,no,,reload,100,100,100,0,0,0,default,default,allon,rdefault,5,priority,5,reject,-88,84,0,70,70,0.25,1,2d,loaded,nonlooping,,1,0,88,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,reload,no,raw\sound\wawzmb\sfx\weapon\Rifle\Arisaka\Foley\arisaka_bolt_down.xm4,0,raw\sound\wawzmb\sfx\weapon\Rifle\Arisaka\Foley\arisaka_bolt_down.mp3,0,raw\sound\wawzmb\sfx\weapon\Rifle\Arisaka\Foley\arisaka_bolt_down.wav,0,raw\sound\wawzmb\sfx\weapon\Rifle\Arisaka\Foley\arisaka_bolt_down.wds,0,wpn_ww2,all
